frame_id,elapsed_sec,people_count,density,density_slope,flow_pressure,flow_coherence,risk_state,confidence,reason_code,latency_ms,risk_state_numeric
0,0.0,14,0.3333,0.0,0.0,0.5,NORMAL,0.0,STABLE,1.97,0
1,0.1,16,0.381,0.0952,0.0,0.5,NORMAL,0.8358,HYSTERESIS_HOLD,23.22,0
2,0.2,16,0.381,0.0762,0.0,0.5,NORMAL,0.8359,HYSTERESIS_HOLD,21.0,0
3,0.3,14,0.3333,-0.0343,0.0,0.5,NORMAL,0.8502,HYSTERESIS_HOLD,23.61,0
4,0.4,15,0.3571,0.0202,0.0,0.5,NORMAL,0.8432,HYSTERESIS_HOLD,18.56,0
5,0.5,16,0.381,0.0638,0.0,0.5,NORMAL,0.8361,HYSTERESIS_HOLD,18.66,0
6,0.6,16,0.381,0.051,0.0,0.5,NORMAL,0.8362,HYSTERESIS_HOLD,22.18,0
7,0.7,14,0.3333,-0.0544,0.0,0.5,NORMAL,0.8506,HYSTERESIS_HOLD,17.62,0
8,0.8,17,0.4048,0.0993,0.0,0.5,NORMAL,0.8292,HYSTERESIS_HOLD,17.18,0
9,0.9,15,0.3571,-0.0158,0.0,0.5,NORMAL,0.8436,HYSTERESIS_HOLD,17.26,0
10,1.0,15,0.3571,-0.0126,0.0,0.5,NORMAL,0.8437,HYSTERESIS_HOLD,18.23,0
11,1.1,17,0.4048,0.0851,0.0,0.5,NORMAL,0.8295,HYSTERESIS_HOLD,16.68,0
12,1.2,17,0.4048,0.0681,0.0,0.5,NORMAL,0.8296,HYSTERESIS_HOLD,17.37,0
13,1.3,15,0.3571,-0.0408,0.0,0.5,NORMAL,0.8439,HYSTERESIS_HOLD,18.14,0
14,1.4,15,0.3571,-0.0326,0.0,0.5,NORMAL,0.844,HYSTERESIS_HOLD,18.36,0
15,1.5,16,0.381,0.0215,0.0,0.5,NORMAL,0.837,HYSTERESIS_HOLD,17.75,0
16,1.6,15,0.3571,-0.0304,0.0,0.5,NORMAL,0.8442,HYSTERESIS_HOLD,18.55,0
